onetId,occupationTitle,reportedTitle,combinedTitle
43-3021.00,Billing and Posting Clerks,Accounts Payable Coordinator,Accounts Payable Coordinator (Billing and Posting Clerks)
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Accounts Payable Specialist,"Accounts Payable Specialist (Bookkeeping, Accounting, and Auditing Clerks)"
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Accounts Payable Supervisor,Accounts Payable Supervisor (First-Line Supervisors of Office and Administrative Support Workers)
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Accounts Payables Clerk,"Accounts Payables Clerk (Bookkeeping, Accounting, and Auditing Clerks)"
43-3021.02,"Billing, Cost, and Rate Clerks",Accounts Receivable Clerk,"Accounts Receivable Clerk (Billing, Cost, and Rate Clerks)"
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Accounts Receivable Clerk,"Accounts Receivable Clerk (Bookkeeping, Accounting, and Auditing Clerks)"
43-3021.00,Billing and Posting Clerks,Accounts Receivable Coordinater,Accounts Receivable Coordinater (Billing and Posting Clerks)
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Accounts Receivable Manager,Accounts Receivable Manager (First-Line Supervisors of Office and Administrative Support Workers)
43-3011.00,Bill and Account Collectors,Accounts Receivable Specialist,Accounts Receivable Specialist (Bill and Account Collectors)
11-9013.02,Farm and Ranch Managers,Accredited Farm Manager (AFM),Accredited Farm Manager (AFM) (Farm and Ranch Managers)
29-2052.00,Pharmacy Technicians,Accredited Pharmacy Technician,Accredited Pharmacy Technician (Pharmacy Technicians)
51-9194.00,Etchers and Engravers,Acid Etch Operator,Acid Etch Operator (Etchers and Engravers)
43-4121.00,"Library Assistants, Clerical",Acquisitions Assistant,"Acquisitions Assistant (Library Assistants, Clerical)"
25-4031.00,Library Technicians,Acquisitions Technician,Acquisitions Technician (Library Technicians)
17-2081.01,Water/Wastewater Engineers,Acting Section Chief,Acting Section Chief (Water/Wastewater Engineers)
39-9032.00,Recreation Workers,Activities Assistant,Activities Assistant (Recreation Workers)
39-3091.00,Amusement and Recreation Attendants,Activities Attendant,Activities Attendant (Amusement and Recreation Attendants)
39-6012.00,Concierges,Activities Concierge,Activities Concierge (Concierges)
39-9032.00,Recreation Workers,Activities Coordinator,Activities Coordinator (Recreation Workers)
39-9032.00,Recreation Workers,Activities Director,Activities Director (Recreation Workers)
29-1125.00,Recreational Therapists,Activities Director,Activities Director (Recreational Therapists)
39-9032.00,Recreation Workers,Activity Aide,Activity Aide (Recreation Workers)
39-9032.00,Recreation Workers,Activity Assistant,Activity Assistant (Recreation Workers)
29-1125.00,Recreational Therapists,Activity Assistant,Activity Assistant (Recreational Therapists)
29-1125.00,Recreational Therapists,Activity Coordinator,Activity Coordinator (Recreational Therapists)
39-9032.00,Recreation Workers,Activity Director,Activity Director (Recreation Workers)
29-1125.00,Recreational Therapists,Activity Director,Activity Director (Recreational Therapists)
27-2011.00,Actors,Actor,Actor (Actors)
27-2011.00,Actors,Actress,Actress (Actors)
15-2011.00,Actuaries,Actuarial Analyst,Actuarial Analyst (Actuaries)
43-9111.00,Statistical Assistants,Actuarial Analyst,Actuarial Analyst (Statistical Assistants)
15-2011.00,Actuaries,Actuarial Assistant,Actuarial Assistant (Actuaries)
43-9111.00,Statistical Assistants,Actuarial Assistant,Actuarial Assistant (Statistical Assistants)
15-2011.00,Actuaries,Actuarial Associate,Actuarial Associate (Actuaries)
15-2011.00,Actuaries,Actuarial Consultant,Actuarial Consultant (Actuaries)
43-9111.00,Statistical Assistants,Actuarial Technician,Actuarial Technician (Statistical Assistants)
15-2011.00,Actuaries,Actuary,Actuary (Actuaries)
29-1199.01,Acupuncturists,Acupuncture Physician,Acupuncture Physician (Acupuncturists)
29-1199.01,Acupuncturists,Acupuncturist,Acupuncturist (Acupuncturists)
29-1171.00,Nurse Practitioners,Acute Care Nurse Practitioner,Acute Care Nurse Practitioner (Nurse Practitioners)
31-2011.00,Occupational Therapy Assistants,Acute Care Occupational Therapy Assistant,Acute Care Occupational Therapy Assistant (Occupational Therapy Assistants)
29-1069.12,Urologists,Acute Care Physician,Acute Care Physician (Urologists)
25-2059.01,Adapted Physical Education Specialists,Adapted Physical Education or Adapted Physical Activity Specialist,Adapted Physical Education or Adapted Physical Activity Specialist (Adapted Physical Education Specialists)
25-2059.01,Adapted Physical Education Specialists,Adapted Physical Education Specialist,Adapted Physical Education Specialist (Adapted Physical Education Specialists)
25-2059.01,Adapted Physical Education Specialists,Adapted Physical Education Specialist-Workshop Leader,Adapted Physical Education Specialist-Workshop Leader (Adapted Physical Education Specialists)
25-2059.01,Adapted Physical Education Specialists,Adapted Physical Education Teacher,Adapted Physical Education Teacher (Adapted Physical Education Specialists)
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Addictions Counselor,Addictions Counselor (Substance Abuse and Behavioral Disorder Counselors)
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Adjudicator,"Adjudicator (Administrative Law Judges, Adjudicators, and Hearing Officers)"
25-1192.00,"Home Economics Teachers, Postsecondary",Adjunct Faculty,"Adjunct Faculty (Home Economics Teachers, Postsecondary)"
25-1031.00,"Architecture Teachers, Postsecondary",Adjunct Instructor,"Adjunct Instructor (Architecture Teachers, Postsecondary)"
25-1052.00,"Chemistry Teachers, Postsecondary",Adjunct Instructor,"Adjunct Instructor (Chemistry Teachers, Postsecondary)"
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Adjunct Instructor,"Adjunct Instructor (Criminal Justice and Law Enforcement Teachers, Postsecondary)"
25-1082.00,"Library Science Teachers, Postsecondary",Adjunct Instructor Library Technical Assistant Program,"Adjunct Instructor Library Technical Assistant Program (Library Science Teachers, Postsecondary)"
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Adjunct Instructor of Women's Studies,"Adjunct Instructor of Women's Studies (Area, Ethnic, and Cultural Studies Teachers, Postsecondary)"
25-1031.00,"Architecture Teachers, Postsecondary",Adjunct Professor,"Adjunct Professor (Architecture Teachers, Postsecondary)"
25-1032.00,"Engineering Teachers, Postsecondary",Adjunct Professor,"Adjunct Professor (Engineering Teachers, Postsecondary)"
25-1065.00,"Political Science Teachers, Postsecondary",Adjunct Professor,"Adjunct Professor (Political Science Teachers, Postsecondary)"
25-1066.00,"Psychology Teachers, Postsecondary",Adjunct Professor,"Adjunct Professor (Psychology Teachers, Postsecondary)"
25-1112.00,"Law Teachers, Postsecondary",Adjunct Professor of Law,"Adjunct Professor of Law (Law Teachers, Postsecondary)"
51-9111.00,Packaging and Filling Machine Operators and Tenders,Adjuster/Packer,Adjuster/Packer (Packaging and Filling Machine Operators and Tenders)
43-9061.00,"Office Clerks, General",Administration Assistant,"Administration Assistant (Office Clerks, General)"
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Administrative Aide,Administrative Aide (Executive Secretaries and Executive Administrative Assistants)
13-1111.00,Management Analysts,Administrative Analyst,Administrative Analyst (Management Analysts)
43-9111.00,Statistical Assistants,Administrative Analyst,Administrative Analyst (Statistical Assistants)
11-3011.00,Administrative Services Managers,Administrative Assistant,Administrative Assistant (Administrative Services Managers)
43-3021.00,Billing and Posting Clerks,Administrative Assistant,Administrative Assistant (Billing and Posting Clerks)
43-3021.02,"Billing, Cost, and Rate Clerks",Administrative Assistant,"Administrative Assistant (Billing, Cost, and Rate Clerks)"
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Administrative Assistant,Administrative Assistant (Executive Secretaries and Executive Administrative Assistants)
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Administrative Assistant,"Administrative Assistant (Human Resources Assistants, Except Payroll and Timekeeping)"
43-4141.00,New Accounts Clerks,Administrative Assistant,Administrative Assistant (New Accounts Clerks)
43-9061.00,"Office Clerks, General",Administrative Assistant,"Administrative Assistant (Office Clerks, General)"
43-4151.00,Order Clerks,Administrative Assistant,Administrative Assistant (Order Clerks)
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Administrative Assistant,"Administrative Assistant (Secretaries and Administrative Assistants, Except Legal, Medical, and Executive)"
43-9022.00,Word Processors and Typists,Administrative Assistant,Administrative Assistant (Word Processors and Typists)
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Administrative Associate,Administrative Associate (Executive Secretaries and Executive Administrative Assistants)
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Administrative Associate,"Administrative Associate (Secretaries and Administrative Assistants, Except Legal, Medical, and Executive)"
11-3011.00,Administrative Services Managers,Administrative Coordinator,Administrative Coordinator (Administrative Services Managers)
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Administrative Coordinator,Administrative Coordinator (Executive Secretaries and Executive Administrative Assistants)
29-1141.02,Advanced Practice Psychiatric Nurses,"Administrative Director, Behavioral Health Services","Administrative Director, Behavioral Health Services (Advanced Practice Psychiatric Nurses)"
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Administrative Hearing Officer,"Administrative Hearing Officer (Administrative Law Judges, Adjudicators, and Hearing Officers)"
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Administrative Judge,"Administrative Judge (Administrative Law Judges, Adjudicators, and Hearing Officers)"
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Administrative Law Judge,"Administrative Law Judge (Administrative Law Judges, Adjudicators, and Hearing Officers)"
11-3011.00,Administrative Services Managers,Administrative Manager,Administrative Manager (Administrative Services Managers)
11-3011.00,Administrative Services Managers,Administrative Officer,Administrative Officer (Administrative Services Managers)
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Administrative Secretary,Administrative Secretary (Executive Secretaries and Executive Administrative Assistants)
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Administrative Secretary,"Administrative Secretary (Secretaries and Administrative Assistants, Except Legal, Medical, and Executive)"
11-3011.00,Administrative Services Managers,Administrative Specialist,Administrative Specialist (Administrative Services Managers)
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Administrative Specialist,"Administrative Specialist (Secretaries and Administrative Assistants, Except Legal, Medical, and Executive)"
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Administrative Supervisor,Administrative Supervisor (First-Line Supervisors of Office and Administrative Support Workers)
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Administrative Technician,"Administrative Technician (Secretaries and Administrative Assistants, Except Legal, Medical, and Executive)"
43-9041.02,Insurance Policy Processing Clerks,Administrative Underwriter,Administrative Underwriter (Insurance Policy Processing Clerks)
19-3093.00,Historians,Administrative Volunteer,Administrative Volunteer (Historians)
11-3011.00,Administrative Services Managers,Administrator,Administrator (Administrative Services Managers)
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Administrator,"Administrator (Education Administrators, Preschool and Childcare Center/Program)"
43-4111.00,"Interviewers, Except Eligibility and Loan",Admissions Clerk,"Admissions Clerk (Interviewers, Except Eligibility and Loan)"
43-6013.00,Medical Secretaries,Admissions Coordinator,Admissions Coordinator (Medical Secretaries)
43-4051.03,Patient Representatives,Admissions Coordinator,Admissions Coordinator (Patient Representatives)
11-9033.00,"Education Administrators, Postsecondary",Admissions Director,"Admissions Director (Education Administrators, Postsecondary)"
41-2011.00,Cashiers,Admissions Gate Attendant,Admissions Gate Attendant (Cashiers)
43-4111.00,"Interviewers, Except Eligibility and Loan",Admissions Representative,"Admissions Representative (Interviewers, Except Eligibility and Loan)"
43-4111.00,"Interviewers, Except Eligibility and Loan",Admitting Clerk,"Admitting Clerk (Interviewers, Except Eligibility and Loan)"
29-1065.00,"Pediatricians, General",Adolescent Medicine Specialist,"Adolescent Medicine Specialist (Pediatricians, General)"
11-9151.00,Social and Community Service Managers,Adoption Services Manager,Adoption Services Manager (Social and Community Service Managers)
29-1069.04,Neurologists,Adult and Pediatric Neurologist,Adult and Pediatric Neurologist (Neurologists)
25-3099.02,Tutors,Adult Basic Education Instructor,Adult Basic Education Instructor (Tutors)
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,Adult Basic Education Instructor (ABE Instructor),Adult Basic Education Instructor (ABE Instructor) (Adult Basic and Secondary Education and Literacy Teachers and Instructors)
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,Adult Basic Education Teacher (ABE Teacher),Adult Basic Education Teacher (ABE Teacher) (Adult Basic and Secondary Education and Literacy Teachers and Instructors)
33-9091.00,Crossing Guards,Adult Crossing Guard,Adult Crossing Guard (Crossing Guards)
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,Adult Education Instructor,Adult Education Instructor (Adult Basic and Secondary Education and Literacy Teachers and Instructors)
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,Adult Education Teacher,Adult Education Teacher (Adult Basic and Secondary Education and Literacy Teachers and Instructors)
39-1021.00,First-Line Supervisors of Personal Service Workers,Adult Family Home Program Manager,Adult Family Home Program Manager (First-Line Supervisors of Personal Service Workers)
21-2021.00,"Directors, Religious Activities and Education",Adult Ministries Director,"Adult Ministries Director (Directors, Religious Activities and Education)"
29-1069.04,Neurologists,Adult Neurologist,Adult Neurologist (Neurologists)
29-1171.00,Nurse Practitioners,Adult Nurse Practitioner,Adult Nurse Practitioner (Nurse Practitioners)
21-1092.00,Probation Officers and Correctional Treatment Specialists,Adult Probation Officer,Adult Probation Officer (Probation Officers and Correctional Treatment Specialists)
29-1141.02,Advanced Practice Psychiatric Nurses,Adult Psychiatric Mental Health Nurse Practitioner,Adult Psychiatric Mental Health Nurse Practitioner (Advanced Practice Psychiatric Nurses)
29-1066.00,Psychiatrists,Adult Psychiatrist,Adult Psychiatrist (Psychiatrists)
21-1013.00,Marriage and Family Therapists,Advanced Clinical Specialist,Advanced Clinical Specialist (Marriage and Family Therapists)
29-1141.02,Advanced Practice Psychiatric Nurses,Advanced Practice Nurse Psychotherapist (APN Psychotherapist),Advanced Practice Nurse Psychotherapist (APN Psychotherapist) (Advanced Practice Psychiatric Nurses)
29-1141.02,Advanced Practice Psychiatric Nurses,Advanced Practice Psychiatric Nurse,Advanced Practice Psychiatric Nurse (Advanced Practice Psychiatric Nurses)
29-1171.00,Nurse Practitioners,Advanced Practice Registered Nurse (APRN),Advanced Practice Registered Nurse (APRN) (Nurse Practitioners)
17-2199.09,Nanosystems Engineers,Advanced Research Programs Director,Advanced Research Programs Director (Nanosystems Engineers)
41-3011.00,Advertising Sales Agents,Advertising Account Executive,Advertising Account Executive (Advertising Sales Agents)
41-3011.00,Advertising Sales Agents,Advertising Account Representative,Advertising Account Representative (Advertising Sales Agents)
27-3043.04,Copy Writers,Advertising Associate,Advertising Associate (Copy Writers)
43-9031.00,Desktop Publishers,Advertising Associate,Advertising Associate (Desktop Publishers)
41-3011.00,Advertising Sales Agents,Advertising Consultant,Advertising Consultant (Advertising Sales Agents)
27-3043.04,Copy Writers,Advertising Copy Writer,Advertising Copy Writer (Copy Writers)
11-2011.00,Advertising and Promotions Managers,Advertising Director,Advertising Director (Advertising and Promotions Managers)
11-2011.00,Advertising and Promotions Managers,Advertising Manager,Advertising Manager (Advertising and Promotions Managers)
27-4021.00,Photographers,Advertising Photographer,Advertising Photographer (Photographers)
41-3011.00,Advertising Sales Agents,Advertising Representative,Advertising Representative (Advertising Sales Agents)
11-2011.00,Advertising and Promotions Managers,Advertising Sales Manager,Advertising Sales Manager (Advertising and Promotions Managers)
41-3011.00,Advertising Sales Agents,Advertising Sales Representative,Advertising Sales Representative (Advertising Sales Agents)
27-3043.04,Copy Writers,Advertising Writer,Advertising Writer (Copy Writers)
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",Advisor,"Advisor (Educational, Guidance, School, and Vocational Counselors)"
23-2093.00,"Title Examiners, Abstractors, and Searchers",Advisory Title Officer,"Advisory Title Officer (Title Examiners, Abstractors, and Searchers)"
21-1093.00,Social and Human Service Assistants,Advocate,Advocate (Social and Human Service Assistants)
19-4099.03,Remote Sensing Technicians,Aerial Photo Lab Manager Digital Imaging/CAD Tech,Aerial Photo Lab Manager Digital Imaging/CAD Tech (Remote Sensing Technicians)
19-4099.03,Remote Sensing Technicians,Aerial Sensing Equipment/Camera and Lidar/Geospatial Extraction,Aerial Sensing Equipment/Camera and Lidar/Geospatial Extraction (Remote Sensing Technicians)
39-9031.00,Fitness Trainers and Aerobics Instructors,Aerobics Instructor,Aerobics Instructor (Fitness Trainers and Aerobics Instructors)
17-2011.00,Aerospace Engineers,Aeronautical Engineer,Aeronautical Engineer (Aerospace Engineers)
17-2011.00,Aerospace Engineers,Aerospace Engineer,Aerospace Engineer (Aerospace Engineers)
17-2011.00,Aerospace Engineers,Aerospace Stress Engineer,Aerospace Stress Engineer (Aerospace Engineers)
17-3031.02,Mapping Technicians,Aerotriangulation Specialist,Aerotriangulation Specialist (Mapping Technicians)
39-5094.00,Skincare Specialists,Aesthetician,Aesthetician (Skincare Specialists)
13-1041.03,Equal Opportunity Representatives and Officers,Affirmative Action Officer (Aa Officer),Affirmative Action Officer (Aa Officer) (Equal Opportunity Representatives and Officers)
43-9041.02,Insurance Policy Processing Clerks,Agency Service Representative,Agency Service Representative (Insurance Policy Processing Clerks)
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Agent,"Agent (Agents and Business Managers of Artists, Performers, and Athletes)"
33-3021.03,Criminal Investigators and Special Agents,Agent,Agent (Criminal Investigators and Special Agents)
41-3021.00,Insurance Sales Agents,Agent,Agent (Insurance Sales Agents)
53-4031.00,Railroad Conductors and Yardmasters,Agent,Agent (Railroad Conductors and Yardmasters)
15-2021.00,Mathematicians,Agent-Based Modeler,Agent-Based Modeler (Mathematicians)
39-2011.00,Animal Trainers,Agility Instructor,Agility Instructor (Animal Trainers)
25-2032.00,"Career/Technical Education Teachers, Secondary School",Agricultural Education Teacher,"Agricultural Education Teacher (Career/Technical Education Teachers, Secondary School)"
17-2021.00,Agricultural Engineers,Agricultural Engineer,Agricultural Engineer (Agricultural Engineers)
25-9021.00,Farm and Home Management Advisors,Agricultural Extension Educator,Agricultural Extension Educator (Farm and Home Management Advisors)
49-3041.00,Farm Equipment Mechanics and Service Technicians,Agricultural Mechanic,Agricultural Mechanic (Farm Equipment Mechanics and Service Technicians)
19-4011.01,Agricultural Technicians,Agricultural Research Technician,Agricultural Research Technician (Agricultural Technicians)
19-4011.01,Agricultural Technicians,Agricultural Research Technologist,Agricultural Research Technologist (Agricultural Technicians)
17-2021.00,Agricultural Engineers,Agricultural Safety and Health Program Director,Agricultural Safety and Health Program Director (Agricultural Engineers)
